"dimensions","size","time_in_ms"
1,10000,0.048
1,10000,0.026
1,10000,0.025
1,10000,0.025
1,10000,0.026
1,10000,0.025
1,10000,0.026
1,10000,0.026
1,10000,0.025
1,10000,0.026
1,20000,0.058
1,20000,0.054
1,20000,0.053
1,20000,0.034
1,20000,0.089
1,20000,0.047
1,20000,0.038
1,20000,0.028
1,20000,0.028
1,20000,0.028
1,50000,0.072
1,50000,0.078
1,50000,0.088
1,50000,0.070
1,50000,0.070
1,50000,0.076
1,50000,0.080
1,50000,0.148
1,50000,0.073
1,50000,0.075
1,100000,0.151
1,100000,0.160
1,100000,0.141
1,100000,0.233
1,100000,0.141
1,100000,0.140
1,100000,0.206
1,100000,0.393
1,100000,0.143
1,100000,0.160
1,220000,0.472
1,220000,0.565
1,220000,0.451
1,220000,1.092
1,220000,0.513
1,220000,0.435
1,220000,0.542
1,220000,0.465
1,220000,0.437
1,220000,0.602
1,460000,1.113
1,460000,2.706
1,460000,1.039
1,460000,1.105
1,460000,1.150
1,460000,1.161
1,460000,1.142
1,460000,1.110
1,460000,1.137
1,460000,1.116
1,1000000,2.318
1,1000000,2.283
1,1000000,2.124
1,1000000,2.269
1,1000000,2.129
1,1000000,2.221
1,1000000,2.272
1,1000000,2.260
1,1000000,2.242
1,1000000,2.251
1,2150000,4.610
1,2150000,4.650
1,2150000,4.636
1,2150000,4.632
1,2150000,4.660
1,2150000,4.628
1,2150000,4.640
1,2150000,4.628
1,2150000,4.639
1,2150000,4.596
1,4640000,9.705
1,4640000,9.696
1,4640000,9.717
1,4640000,9.740
1,4640000,9.718
1,4640000,9.700
1,4640000,9.692
1,4640000,9.682
1,4640000,9.718
1,4640000,9.689
1,10000000,20.620
1,10000000,20.636
1,10000000,20.620
1,10000000,20.666
1,10000000,20.954
1,10000000,20.625
1,10000000,20.636
1,10000000,20.619
1,10000000,21.318
1,10000000,20.605
2,1000,1.604
2,1000,1.620
2,1000,1.595
2,1000,1.871
2,1000,1.577
2,1000,1.622
2,1000,2.415
2,1000,1.615
2,1000,1.595
2,1000,3.013
2,1292,2.906
2,1292,2.715
2,1292,4.477
2,1292,2.614
2,1292,2.644
2,1292,2.683
2,1292,2.728
2,1292,4.391
2,1292,2.611
2,1292,2.625
2,1668,4.414
2,1668,4.407
2,1668,4.375
2,1668,4.421
2,1668,4.405
2,1668,4.382
2,1668,4.448
2,1668,4.388
2,1668,4.477
2,1668,4.416
2,2154,7.309
2,2154,7.308
2,2154,7.314
2,2154,7.287
2,2154,7.286
2,2154,7.307
2,2154,7.314
2,2154,7.308
2,2154,7.311
2,2154,7.307
2,2783,12.142
2,2783,12.126
2,2783,12.133
2,2783,12.135
2,2783,12.161
2,2783,12.135
2,2783,12.134
2,2783,12.124
2,2783,12.122
2,2783,12.135
2,3594,20.159
2,3594,20.178
2,3594,20.175
2,3594,20.168
2,3594,20.167
2,3594,20.149
2,3594,20.230
2,3594,20.185
2,3594,20.157
2,3594,20.222
2,4642,33.640
2,4642,33.638
2,4642,33.596
2,4642,33.583
2,4642,33.610
2,4642,33.615
2,4642,33.570
2,4642,33.578
2,4642,33.590
2,4642,33.619
2,5995,55.993
2,5995,56.034
2,5995,55.995
2,5995,55.995
2,5995,55.991
2,5995,55.963
2,5995,56.048
2,5995,55.953
2,5995,55.995
2,5995,55.993
2,7743,93.432
2,7743,93.409
2,7743,93.408
2,7743,93.782
2,7743,93.374
2,7743,93.377
2,7743,93.358
2,7743,93.376
2,7743,93.454
2,7743,93.362
2,10000,155.907
2,10000,155.859
2,10000,155.855
2,10000,155.816
2,10000,155.937
2,10000,155.867
2,10000,155.882
2,10000,155.988
2,10000,155.847
2,10000,156.077
