dimensions,size,time_in_ms
1,1000000,2.216
1,1000000,2.200
1,1000000,2.244
1,1000000,2.251
1,1000000,3.623
1,1000000,2.225
1,1000000,2.257
1,1000000,2.303
1,1000000,2.269
1,1000000,2.245
1,2000000,4.471
1,2000000,4.312
1,2000000,4.320
1,2000000,4.328
1,2000000,4.319
1,2000000,4.305
1,2000000,4.668
1,2000000,4.330
1,2000000,4.317
1,2000000,4.315
1,3000000,6.310
1,3000000,6.345
1,3000000,6.361
1,3000000,6.453
1,3000000,6.375
1,3000000,6.362
1,3000000,6.382
1,3000000,6.366
1,3000000,6.339
1,3000000,6.335
1,4000000,8.370
1,4000000,8.398
1,4000000,8.394
1,4000000,8.377
1,4000000,8.316
1,4000000,8.409
1,4000000,8.401
1,4000000,8.445
1,4000000,8.398
1,4000000,8.395
1,5000000,10.440
1,5000000,10.427
1,5000000,10.440
1,5000000,10.415
1,5000000,10.413
1,5000000,10.412
1,5000000,10.423
1,5000000,10.515
1,5000000,12.756
1,5000000,10.411
1,6000000,12.469
1,6000000,12.459
1,6000000,12.452
1,6000000,12.473
1,6000000,12.477
1,6000000,12.545
1,6000000,12.396
1,6000000,12.475
1,6000000,12.558
1,6000000,12.468
1,7000000,14.507
1,7000000,14.517
1,7000000,14.507
1,7000000,14.596
1,7000000,14.537
1,7000000,14.516
1,7000000,14.434
1,7000000,14.636
1,7000000,14.503
1,7000000,14.499
1,8000000,16.525
1,8000000,16.582
1,8000000,16.547
1,8000000,16.559
1,8000000,16.542
1,8000000,16.568
1,8000000,16.633
1,8000000,16.525
1,8000000,16.557
1,8000000,16.542
1,9000000,18.583
1,9000000,18.733
1,9000000,18.583
1,9000000,18.573
1,9000000,18.573
1,9000000,18.584
1,9000000,18.588
1,9000000,18.588
1,9000000,18.570
1,9000000,18.564
1,10000000,20.686
1,10000000,20.669
1,10000000,20.614
1,10000000,20.658
1,10000000,20.609
1,10000000,20.634
1,10000000,20.636
1,10000000,20.621
1,10000000,20.623
1,10000000,20.685
2,1000,1.626
2,1000,1.710
2,1000,1.606
2,1000,1.611
2,1000,3.246
2,1000,1.654
2,1000,1.607
2,1000,2.753
2,1000,1.609
2,1000,1.603
2,1292,2.698
2,1292,2.666
2,1292,2.654
2,1292,2.657
2,1292,2.681
2,1292,2.677
2,1292,2.644
2,1292,2.698
2,1292,2.672
2,1292,2.685
2,1668,4.407
2,1668,4.395
2,1668,4.431
2,1668,4.393
2,1668,4.400
2,1668,4.387
2,1668,4.411
2,1668,4.400
2,1668,4.435
2,1668,4.409
2,2154,7.310
2,2154,7.287
2,2154,7.303
2,2154,7.277
2,2154,7.313
2,2154,7.306
2,2154,7.304
2,2154,7.334
2,2154,7.302
2,2154,7.391
2,2783,12.146
2,2783,12.126
2,2783,12.129
2,2783,12.327
2,2783,12.175
2,2783,12.122
2,2783,12.112
2,2783,12.123
2,2783,12.126
2,2783,12.164
2,3594,20.181
2,3594,20.199
2,3594,20.376
2,3594,20.168
2,3594,20.221
2,3594,20.162
2,3594,20.166
2,3594,20.163
2,3594,20.157
2,3594,20.485
2,4642,33.643
2,4642,33.603
2,4642,33.704
2,4642,33.611
2,4642,33.826
2,4642,33.591
2,4642,33.592
2,4642,33.567
2,4642,33.800
2,4642,33.605
2,5995,55.962
2,5995,55.951
2,5995,55.891
2,5995,55.958
2,5995,55.914
2,5995,55.954
2,5995,55.910
2,5995,55.952
2,5995,55.945
2,5995,55.916
2,7743,93.514
2,7743,93.260
2,7743,93.234
2,7743,93.279
2,7743,93.253
2,7743,93.223
2,7743,93.389
2,7743,93.291
2,7743,93.320
2,7743,93.322
2,10000,155.601
2,10000,156.337
2,10000,156.241
2,10000,155.594
2,10000,155.624
2,10000,155.486
2,10000,155.708
2,10000,155.492
2,10000,155.528
2,10000,155.681
