Types,Sizes,Times
c-naive,1000,14.535
c-naive,1000,14.500
c-naive,1000,14.512
c-naive,1000,14.488
c-naive,1000,14.486
c-naive,1292,34.830
c-naive,1292,34.742
c-naive,1292,34.735
c-naive,1292,34.738
c-naive,1292,34.746
c-naive,1668,75.832
c-naive,1668,75.078
c-naive,1668,75.054
c-naive,1668,75.050
c-naive,1668,75.224
c-naive,2154,212.030
c-naive,2154,210.654
c-naive,2154,207.845
c-naive,2154,209.458
c-naive,2154,211.343
c-naive,2500,279.072
c-naive,2500,282.849
c-naive,2500,281.288
c-naive,2500,281.338
c-naive,2500,280.957
c-better,1000,8.438
c-better,1000,8.409
c-better,1000,8.410
c-better,1000,8.409
c-better,1000,8.410
c-better,1292,18.144
c-better,1292,18.116
c-better,1292,18.108
c-better,1292,18.102
c-better,1292,18.102
c-better,1668,38.977
c-better,1668,38.934
c-better,1668,38.932
c-better,1668,38.920
c-better,1668,38.921
c-better,2154,83.449
c-better,2154,83.367
c-better,2154,83.362
c-better,2154,83.391
c-better,2154,83.352
c-better,2500,130.165
c-better,2500,130.076
c-better,2500,130.105
c-better,2500,130.112
c-better,2500,130.850
c-blas,1000,1.843
c-blas,1000,1.844
c-blas,1000,1.851
c-blas,1000,1.844
c-blas,1000,1.847
c-blas,1292,3.959
c-blas,1292,3.958
c-blas,1292,3.964
c-blas,1292,3.955
c-blas,1292,3.956
c-blas,1668,8.429
c-blas,1668,8.430
c-blas,1668,8.445
c-blas,1668,8.445
c-blas,1668,8.437
c-blas,2154,18.082
c-blas,2154,18.077
c-blas,2154,18.074
c-blas,2154,18.046
c-blas,2154,18.039
c-blas,2500,28.233
c-blas,2500,28.193
c-blas,2500,28.202
c-blas,2500,28.204
c-blas,2500,28.227
