Types,Sizes,Times
lagrange,250,0.502882138
newton,250,0.137348986
polyfit,250,2.329398672
lagrange,250,0.244076348
newton,250,0.006412312
polyfit,250,0.002074612
lagrange,250,0.198972299
newton,250,0.006445035
polyfit,250,0.00216852
lagrange,250,0.194279594
newton,250,0.006442163
polyfit,250,0.002101789
lagrange,250,0.19978838
newton,250,0.007272702
polyfit,250,0.002045809
lagrange,250,0.239059113
newton,250,0.007534443
polyfit,250,0.005543483
lagrange,250,0.22421161
newton,250,0.008438339
polyfit,250,0.021028297
lagrange,250,0.22445279
newton,250,0.011229282
polyfit,250,0.002118375
lagrange,250,0.193552982
newton,250,0.007230277
polyfit,250,0.003022298
lagrange,250,0.221272639
newton,250,0.007095217
polyfit,250,0.002049627
lagrange,500,1.334567957
newton,500,0.048248324
polyfit,500,0.019213105
lagrange,500,1.32825127
newton,500,0.048470684
polyfit,500,0.009399232
lagrange,500,1.250621988
newton,500,0.043673892
polyfit,500,0.009530162
lagrange,500,1.367662407
newton,500,0.051734477
polyfit,500,0.015003888
lagrange,500,1.353431843
newton,500,0.043908462
polyfit,500,0.009567288
lagrange,500,1.310880436
newton,500,0.046568264
polyfit,500,0.023671842
lagrange,500,1.367512026
newton,500,0.047966478
polyfit,500,0.016338639
lagrange,500,1.26404142
newton,500,0.043676935
polyfit,500,0.009581504
lagrange,500,1.360424006
newton,500,0.04436837
polyfit,500,0.0284863
lagrange,500,1.276856899
newton,500,0.048424111
polyfit,500,0.009495022
lagrange,750,3.679253009
newton,750,0.144518736
polyfit,750,0.022365587
lagrange,750,3.701696462
newton,750,0.144729804
polyfit,750,0.025643888
lagrange,750,3.8091178
newton,750,0.144706068
polyfit,750,0.023964631
lagrange,750,4.334582904
newton,750,0.188683869
polyfit,750,0.242824908
lagrange,750,4.615478178
newton,750,0.155461228
polyfit,750,0.07775664
lagrange,750,4.018945186
newton,750,0.170283022
polyfit,750,0.029407318
lagrange,750,3.924150199
newton,750,0.15267994
polyfit,750,0.0251748
lagrange,750,4.061502711
newton,750,0.145988724
polyfit,750,0.401409437
lagrange,750,3.941666861
newton,750,0.143624882
polyfit,750,0.022454066
lagrange,750,3.645121207
newton,750,0.145710397
polyfit,750,0.514412161
lagrange,1000,8.440164831
newton,1000,0.33734368
polyfit,1000,0.047156335
lagrange,1000,9.064348405
newton,1000,0.364743344
polyfit,1000,0.047351304
lagrange,1000,8.911806167
newton,1000,0.355129562
polyfit,1000,0.066260573
lagrange,1000,8.873039286
newton,1000,0.326862706
polyfit,1000,0.047137822
lagrange,1000,8.608198813
newton,1000,0.352101125
polyfit,1000,0.097925131
lagrange,1000,8.489153912
newton,1000,0.335520622
polyfit,1000,0.048657184
lagrange,1000,8.602046638
newton,1000,0.330008986
polyfit,1000,0.070994781
lagrange,1000,8.300753791
newton,1000,0.325146805
polyfit,1000,0.060916172
lagrange,1000,8.488376273
newton,1000,0.325350386
polyfit,1000,0.046783629
lagrange,1000,8.278930553
newton,1000,0.33702931
polyfit,1000,0.058244924
lagrange,1250,17.164193486
newton,1250,0.765531204
polyfit,1250,0.146196159
lagrange,1250,18.120026667
newton,1250,0.642670293
polyfit,1250,0.105725168
lagrange,1250,16.206747867
newton,1250,0.628343413
polyfit,1250,0.091347412
lagrange,1250,16.406089755
newton,1250,0.630591573
polyfit,1250,0.087235302
lagrange,1250,16.643641181
newton,1250,0.6383659
polyfit,1250,0.090010795
lagrange,1250,17.205559569
newton,1250,0.626917528
polyfit,1250,0.093324189
lagrange,1250,16.030880326
newton,1250,0.625742045
polyfit,1250,0.089313307
lagrange,1250,15.961020304
newton,1250,0.638789694
polyfit,1250,0.106419391
lagrange,1250,16.284804285
newton,1250,0.717404195
polyfit,1250,0.353419964
lagrange,1250,16.908473698
newton,1250,0.642045133
polyfit,1250,0.09638977
lagrange,1500,28.482379076
newton,1500,1.196473107
polyfit,1500,0.497765428
lagrange,1500,28.203166413
newton,1500,1.073990475
polyfit,1500,0.178961067
lagrange,1500,28.203667318
newton,1500,1.071103457
polyfit,1500,0.155521905
lagrange,1500,27.041948486
newton,1500,1.069337834
polyfit,1500,0.157061455
lagrange,1500,26.879878353
newton,1500,1.081802347
polyfit,1500,0.172220673
lagrange,1500,27.330634871
newton,1500,1.077149104
polyfit,1500,0.157400477
lagrange,1500,26.861219434
newton,1500,1.118158734
polyfit,1500,0.329916699
lagrange,1500,27.444691165
newton,1500,1.05800633
polyfit,1500,0.150501342
lagrange,1500,26.506768839
newton,1500,1.06508486
polyfit,1500,0.150775732
lagrange,1500,27.487298315
newton,1500,1.115921338
polyfit,1500,0.212840853
lagrange,1750,43.696338532
newton,1750,1.753474721
polyfit,1750,0.280262847
lagrange,1750,40.794888147
newton,1750,1.772183723
polyfit,1750,0.286587176
lagrange,1750,44.392216356
newton,1750,1.758435363
polyfit,1750,0.313690716
lagrange,1750,46.950856261
newton,1750,1.90023763
polyfit,1750,0.343818444
lagrange,1750,43.573040973
newton,1750,1.663533514
polyfit,1750,0.283708151
lagrange,1750,45.900711422
newton,1750,1.740255649
polyfit,1750,0.416882386
lagrange,1750,45.803148587
newton,1750,1.685771605
polyfit,1750,0.271003963
lagrange,1750,44.946543868
newton,1750,1.749450519
polyfit,1750,0.289607395
lagrange,1750,49.558743663
newton,1750,1.833828497
polyfit,1750,0.379418483
lagrange,1750,45.550303113
newton,1750,1.778671314
polyfit,1750,0.327769438
lagrange,2000,66.315351259
newton,2000,2.628180668
polyfit,2000,0.446918755
lagrange,2000,65.640351404
newton,2000,2.594571731
polyfit,2000,0.627895116
lagrange,2000,65.18194951
newton,2000,2.745696995
polyfit,2000,0.489260199
lagrange,2000,66.407304255
newton,2000,2.672760572
polyfit,2000,0.488047338
lagrange,2000,69.568267256
newton,2000,2.767056615
polyfit,2000,0.475385023
lagrange,2000,66.910010749
newton,2000,2.591381497
polyfit,2000,0.475628809
lagrange,2000,65.18014458
newton,2000,2.602294203
polyfit,2000,0.479127085
lagrange,2000,65.027638699
newton,2000,2.60990446
polyfit,2000,0.481916907
lagrange,2000,65.229975333
newton,2000,2.596517645
polyfit,2000,0.493446111
lagrange,2000,64.893625411
newton,2000,2.608426291
polyfit,2000,0.496088343
