type,function,iterations,evaluations,result
bisection,f1,51,53,-1.895494267033981
newton,f1,6,13,-1.895494267033981
secant,f1,8,10,-1.895494267033981
bisection,f3,0,2,0.0
newton,f3,30,61,35.31795233577321
secant,f3,15,17,-9.591945638057392e-19
bisection,f5,51,53,-3.0
newton,f5,6,13,-3.0
secant,f5,8,10,-3.0
bisection,f11,59,61,-2.0
newton,f11,8,17,-2.0
secant,f11,11,13,-1.9999999999999998
bisection,f14,62,64,-0.1534804948126991
newton,f14,6,13,2.1274329318603376
secant,f14,9,11,2.1274329318603376
bisection,f15,0,2,0.0
newton,f15,18,37,-5.858586374006785
secant,f15,25,27,-5.820098815756444
